Title,Company,Location,Time,Expire
Virtual AssistantTalentBridge,TalentBridge,Tirane,28-02-2025,edhe 13 ditë
RecruiterTalentBridge,TalentBridge,Tirane,28-02-2025,edhe 13 ditë
Data Entry SpecialistTalentBridge,TalentBridge,Tirane,28-02-2025,edhe 13 ditë
Network EngineerS2 Albania,S2 Albania,Shqipëri,03-03-2025,edhe 16 ditë
Menaxher/e ShitjeshRE/MAX Golden Group,RE/MAX Golden Group,Tirane,05-03-2025,edhe 18 ditë
"Cabin Crew Tirana, AlbaniaWizz Air",Wizz Air,Tirane,11-03-2025,edhe 24 ditë
Asistent UdhetimiAlpitour,Alpitour,Tirane,01-03-2025,edhe 14 ditë
Kamarier/ Ndihmes Kamarier PalasePaleste,Paleste,Dhërmi,14-03-2025,edhe 27 ditë
Field Service Engineer (FSE)S2 Albania,S2 Albania,"Tirane, Durres",11-03-2025,edhe 24 ditë
Pergjegjes FinanceLim-Em,Lim-Em,Tirane,23-02-2025,edhe 8 ditë
Inxhinier Struktural BIMISDC,ISDC,Tirane,12-03-2025,edhe 25 ditë
Agenti Sales InboundAUTO 1 Albania,AUTO 1 Albania,Tirane,07-03-2025,edhe 20 ditë
Menaxher ShitjeshFUTUREHOME INTEGRITY,FUTUREHOME INTEGRITY,Tirane,11-03-2025,edhe 24 ditë
Inxhinier NdertimiLim-Em,Lim-Em,Tirane,23-02-2025,edhe 8 ditë
FinanciereALBANIA BAY MARINA,ALBANIA BAY MARINA,Tirane,23-02-2025,edhe 8 ditë
Menaxher ShitjeshKlar&Coffee,Klar&Coffee,Tirane,23-02-2025,edhe 8 ditë
Quality Assurance SpecialistRevenued Albania,Revenued Albania,Tirane,04-03-2025,edhe 17 ditë
Marketing & Business Development AssistantRevenued Albania,Revenued Albania,Tirane,04-03-2025,edhe 17 ditë
Zhvillues i Rrjetit te Pasurive te PatundshmeHofmann and Son,Hofmann and Son,Tirane,11-03-2025,edhe 24 ditë
Inxhinier Elektrik / ElektricistEnpi shpk,Enpi shpk,Tirane,08-03-2025,edhe 21 ditë
Document Integrity SpecialistRevenued Albania,Revenued Albania,Tirane,21-03-2025,edhe 34 ditë
IT Support SpecialistRevenued Albania,Revenued Albania,Tirane,15-03-2025,edhe 28 ditë
Inxhiniere Ndertimi ZyreDATON Construction,DATON Construction,Tirane,12-03-2025,edhe 25 ditë
Credit Risk AnalystRevenued Albania,Revenued Albania,Tirane,04-03-2025,edhe 17 ditë
Asistent Personalduapune.com,duapune.com,Tirane,12-03-2025,edhe 25 ditë
Specialist ProkurimeshFintrade shpk,Fintrade shpk,Tirane,11-03-2025,edhe 24 ditë
Sales Specialist ShkoderAllan Lloyds Events,Allan Lloyds Events,Shkodër,08-03-2025,edhe 21 ditë
Inxhinier Ndertimi ne ZbatimDATON Construction,DATON Construction,Tirane,12-03-2025,edhe 25 ditë
Administrative AssistantRevenued Albania,Revenued Albania,Tirane,15-03-2025,edhe 28 ditë
Graphic Designerduapune.com,duapune.com,Tirane,10-03-2025,edhe 23 ditë
Inxhinier/Teknik Pajisjesh MjekesoreFUTURA DENT shpk,FUTURA DENT shpk,Tirane,06-03-2025,edhe 19 ditë
Travel Agent German SpeakingBizAway Balkans,BizAway Balkans,Tirane,05-03-2025,edhe 18 ditë
Supply Chain Business AnalystTIA INSIGHTS,TIA INSIGHTS,Tirane,11-03-2025,edhe 24 ditë
Travel Agent Portuguese SpeakingBizAway Balkans,BizAway Balkans,Tirane,05-03-2025,edhe 18 ditë
Travel Agent French SpeakingBizAway Balkans,BizAway Balkans,Tirane,05-03-2025,edhe 18 ditë
Project ManagerTeam Sunshine Construction,Team Sunshine Construction,Tirane,14-03-2025,edhe 27 ditë
FinanciereValona Konstruksion sh.p.k,Valona Konstruksion sh.p.k,Tirane,04-03-2025,edhe 17 ditë
Sales ExecutiveAllan Lloyds Events,Allan Lloyds Events,Tirane,08-03-2025,edhe 21 ditë
Specialist Shitje per Implante DentareFUTURA DENT shpk,FUTURA DENT shpk,Tirane,06-03-2025,edhe 19 ditë
Shofer Kamioni / ItaliDSP JOB & MARKETING SOLUTIONS SHPK,DSP JOB & MARKETING SOLUTIONS SHPK,Itali,03-03-2025,edhe 16 ditë
Agjent ImobilarEagle 24 Real Estate,Eagle 24 Real Estate,Tirane,13-03-2025,edhe 26 ditë
Remote Operator/e  Italishtduapune.com,duapune.com,Punë nga shtëpia,13-03-2025,edhe 26 ditë
MagazinierElmed sh.p.k,Elmed sh.p.k,Tirane,10-03-2025,edhe 23 ditë
Specialist/e i Mbledhjes së DetyrimeveD&A Fin Partner,D&A Fin Partner,Tirane,11-03-2025,edhe 24 ditë
Menaxhere SupermarketiKMY,KMY,Kamëz,14-03-2025,edhe 27 ditë
Agjent FinanciarTelemarketing,Telemarketing,Tirane,04-03-2025,edhe 17 ditë
B2B Sales ManagerBaboon Food Delivery,Baboon Food Delivery,Tirane,10-03-2025,edhe 23 ditë
Projektues ArkitektDBA PRO ALBANIA SHPK,DBA PRO ALBANIA SHPK,Tirane,03-03-2025,edhe 16 ditë
Business Development and Project ManagerThe American Chamber of Commerce in Albania,The American Chamber of Commerce in Albania,Tirane,20-02-2025,edhe 5 ditë
Ekonomist/e ne Zyrat QendroreKMY,KMY,Tirane,14-03-2025,edhe 27 ditë
Menaxhere  SupermarketiBARONESHA,BARONESHA,Tirane,14-03-2025,edhe 27 ditë
Inxhinier Preventivues/KostoistVetro Fusione Gjoka sh.p.k,Vetro Fusione Gjoka sh.p.k,Tirane,07-03-2025,edhe 20 ditë
Operator Impianti Prodhimi LezheI.N.C.A shpk,I.N.C.A shpk,Lezhë,08-03-2025,edhe 21 ditë
Contact Center SpecialistMellon Albania,Mellon Albania,Tirane,13-03-2025,edhe 26 ditë
Specialiste BulmetiKMY,KMY,Tirane,14-03-2025,edhe 27 ditë
Menaxhere ShitjeshSagema,Sagema,Tirane,12-03-2025,edhe 25 ditë
Collection SpecialistTalentBridge,TalentBridge,Tirane,04-03-2025,edhe 17 ditë
Financier/eduapune.com,duapune.com,Tirane,12-03-2025,edhe 25 ditë
Operatore Outbound  Presa Appuntamento Negozi VodafoneD.G Group AL,D.G Group AL,Tirane,04-03-2025,edhe 17 ditë
Operator/e ne Gjuhen ShqipeRed Group SHPK,Red Group SHPK,Tirane,04-03-2025,edhe 17 ditë
Inxhinier Elektrik DurrësProgeen Construction,Progeen Construction,Durres,11-03-2025,edhe 24 ditë
Agjent/e Shitjesh në terrenduapune.com,duapune.com,Tirane,03-03-2025,edhe 16 ditë
Inxhinier Hidro-Mekanik në Zbatim DurrësProgeen Construction,Progeen Construction,Durres,11-03-2025,edhe 24 ditë
